"user_id","book_id","rating"
69,8,5
69,89,4
69,35,3
69,26,3
69,4,5
69,32,5
69,5,5
63,121,3
63,130,4
63,10,2
63,32,3
63,315,3
63,786,3
63,278,3
63,8455,5
63,85,4
63,3508,4
63,1996,3
63,58,3
63,5327,3
63,4974,3
63,8946,3
63,177,3
63,8792,3
63,4475,5
63,160,3
63,83,4
63,590,3
63,361,3
63,718,3
105,1553,5
105,5609,3
105,5295,3
105,3608,3
105,4656,3
105,3832,3
105,38,4
105,28,3
105,287,4
105,405,5
105,325,5
105,758,5
105,167,3
105,806,4
105,725,4
105,953,4
105,176,4
105,232,5
105,936,3
105,915,4
105,1053,4
105,488,5
105,168,4
105,612,3
105,374,5
105,6064,4
105,337,5
105,878,4
105,4510,4
63,131,3
63,5730,3
63,125,4
63,498,4
63,4485,3
122,22,1
122,5792,2
122,7022,3
122,4531,3
137,113,5
137,94,5
137,542,3
137,602,3
137,347,5
137,332,5
137,292,5
137,641,4
137,37,5
137,70,5
137,492,4
137,760,4
137,1646,5
137,1213,4
137,838,5
137,2564,4
137,2312,4
137,8878,3
137,1239,5
137,730,2
137,95,3
137,55,4
137,1580,3
137,715,4
137,43,3
137,448,4
137,7254,5
137,5207,5
137,1788,5
137,4483,5
137,6590,5
137,6920,5
137,6361,5
137,1010,5
137,8,3
137,14,5
137,28,3
137,503,3
137,2536,3
137,6364,5
137,271,5
137,60,4
137,245,5
137,71,5
137,29,4
137,2,2
137,160,3
137,154,2
137,97,3
137,125,4
137,1178,3
137,714,4
137,90,3
137,36,4
137,335,3
137,416,2
137,18,4
137,103,4
137,9,4
137,413,5
137,26,3
137,145,3
137,32,5
137,635,4
137,2052,3
137,2123,2
137,373,3
137,184,5
137,7266,4
137,2741,3
137,9402,4
137,6359,3
137,2184,2
137,266,3
137,242,4
137,1037,4
137,1301,3
137,343,4
137,281,2
137,1388,3
137,833,2
137,1057,3
137,1733,3
137,963,5
137,353,5
137,24,4
137,21,4
137,27,4
137,23,3
137,358,3
122,8878,3
63,4068,3
63,606,3
63,1847,3
